timestamp,event_type,level,user_id,client_id,resource,action,result,ip_address,request_id,user_agent,metadata
2026-02-02T20:44:32.685361+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,faf927307dd54577b4c0cd29f3a4d025,,{}
2026-02-02T20:44:32.699789+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,5a44067cbaa44493b0c0cabb75b7915a,,{}
2026-02-02T20:44:32.716861+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,a7480ed2d5bc4c94975857bff67bc8da,,{}
2026-02-02T20:44:32.732120+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,d5c7dd74242b43a1a86ba852cfb3b8a8,,{}
2026-02-02T20:44:32.746137+00:00,auth.failure,HIGH,,,/api/v1/export/properties,POST,failure,,63dd065ec12f4058a923e41b08ba36c9,,"{'reason': 'missing_api_key', 'key_prefix': None}"
2026-02-02T20:44:32.761577+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,3901946229cb485fab836424bedc7be1,,{}
2026-02-02T20:44:32.779107+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,3a144c521d4849c8babbb18cad436dcf,,{}
2026-02-02T20:44:32.797998+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,ea851ebfd158438694ea89cd9c2271f5,,{}
2026-02-02T20:44:32.819447+00:00,auth.failure,HIGH,,,/api/v1/prompt-templates,GET,failure,,1b1375ecd4fb45178d0785c3048a8c10,,"{'reason': 'missing_api_key', 'key_prefix': None}"
2026-02-02T20:44:32.833195+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,eee8ba4f6721464e8808031806633fcb,,{}
2026-02-02T20:44:32.846497+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,fc2476291a0f45259191bf7ef0048a3b,,{}
2026-02-02T20:44:32.858635+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,ad627dc6c625470cade1393baa0d1214,,{}
2026-02-02T20:44:32.872394+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,967d85061e2a417f96b8510935489acb,,{}
2026-02-02T20:44:32.892624+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,3dc00969747344dc84266dc34d2a88ba,,{}
2026-02-02T20:44:32.912413+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,017929ca3aaf4d2ba2ce3df7251c6368,,{}
2026-02-02T20:44:32.928344+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,67a7aa5c340544cd842331e532ada9c0,,{}
2026-02-02T20:44:32.945290+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,73db5a01af70403db56acf1ccd255331,,{}
2026-02-02T20:44:32.961128+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,9179a11209ed4601b5a676700115e12e,,{}
2026-02-02T20:44:32.977552+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,97b47581f460448d960a2b42ebd5495a,,{}
2026-02-02T20:44:32.997943+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,39faee4b16c2479e9924bd98ab68fc47,,{}
2026-02-02T20:44:33.018017+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,5e8350d971ce46fa8d2d351bd2733841,,{}
2026-02-02T20:44:33.040344+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,9f75d8d488774854a6a06bacc5ab29fd,,{}
2026-02-02T20:44:33.060325+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,cf85a6a800b84939b1abb8f47faf334f,,{}
2026-02-02T20:44:33.084502+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,977f9117c1534da5bdee983a8690601f,,{}
2026-02-02T20:44:33.106467+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,48ceae452de144a98b858a8bd61748e4,,{}
2026-02-02T20:44:33.132065+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,22e4440ba4364c378fb004dfeba979bf,,{}
2026-02-02T20:44:37.255820+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,108921ef6eb64db89ccdf0e45eb3e7f5,,{}
2026-02-02T20:44:41.366311+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,c89cae324d9a4fb78677d1f58d659931,,{}
2026-02-02T20:44:41.387390+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,143708ce0a23433eac0b77f601370f21,,{}
2026-02-02T20:44:41.414655+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,ced5060eaa8d4b4da586c4eb7dc77f7c,,{}
2026-02-02T20:44:41.434083+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,d19133466792425f9cae8971e4cccdf9,,{}
2026-02-02T20:44:45.533296+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,e39dc79a578947a0b87aa7d5e0f03058,,{}
2026-02-02T20:44:45.543802+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,e8be29d6d5a64965ac86e392ce3d630e,,{}
2026-02-02T20:44:45.563213+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,8ea3eca9c6be4df3bc74d61b894a7479,,{}
2026-02-02T20:44:45.585352+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,c732a58c2b7143ee8113cf6679657344,,{}
2026-02-02T20:44:45.608400+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,56d69b82e60a41d59a552d6154ea2c25,,{}
2026-02-02T20:44:45.629275+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,9310a9c9af0a4031986d0634eedba3cf,,{}
2026-02-02T20:44:45.648203+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,6c4d70034412406f90e1266aebdd74d5,,{}
2026-02-02T20:44:45.666102+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,e9d525d103e54b498134eecb2a386cae,,{}
2026-02-02T20:44:45.682560+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,6b7c98955bb14122ac24259e2376522c,,{}
2026-02-02T20:44:45.699227+00:00,auth.failure,HIGH,,,/api/v1/search,POST,failure,,c343cac0b70e42c4a5676eb158cd785a,,"{'reason': 'missing_api_key', 'key_prefix': None}"
2026-02-02T20:44:45.715271+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,c47ebbd94c1c4bcaab92a2ab5a9a04db,,{}
2026-02-02T20:44:45.734858+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,f03374b9cff746be921c735d6bc88231,,{}
2026-02-02T20:44:45.757059+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,c3bea129c6814c3fa4a7d6bd3bd97bb5,,{}
2026-02-02T20:44:45.778114+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,fe24837a4e844ba4b286262df9e44e69,,{}
2026-02-02T20:44:45.795989+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,a41e560ef3c94c86a1daaf5c66f8b286,,{}
2026-02-02T20:44:45.811650+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,71278fa394f44ccabda9a061e3acfce3,,{}
2026-02-02T20:44:45.829529+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,0db5e776fecc426189dd6e5866f29649,,{}
2026-02-02T20:44:45.847989+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,33d75a4863ff40149d0415a601bae211,,{}
2026-02-02T20:44:45.869383+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,989c0153af2146909b83909d872d2ed9,,{}
2026-02-02T20:44:45.886093+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,5706c342a1a740b0b9c6363318ddf1be,,{}
2026-02-02T20:44:45.900828+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,1ddae9e208434aba8792d5a6aed9ed21,,{}
2026-02-02T20:44:45.915661+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,bd620a26b379487482f0fa3e3125e7f3,,{}
2026-02-02T20:44:45.928471+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,b122dc5dde2b4dc7883a2ac9bb62cde2,,{}
2026-02-02T20:44:45.944949+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,10b38bca8e674f1aaa5b361474d0ef23,,{}
2026-02-02T20:44:45.963173+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,ce24bd282eec4cd7ba29bd0288301623,,{}
2026-02-02T20:44:45.980700+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,65995406c3e247668dcd83684cd42305,,{}
2026-02-02T20:44:45.997705+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,f123cb43d48849d88409cbf2c06935bc,,{}
2026-02-02T20:44:46.013029+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,400ce3f6b7eb413286ff477bf167ee55,,{}
2026-02-02T20:44:46.027466+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,4465bad883dd41c5a9b70a0edf090657,,{}
2026-02-02T20:44:46.042775+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,1a1230c5879a4f2d93fb0c24d0b47c09,,{}
2026-02-02T20:44:46.059442+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,f133ff840034499483c2f5102c3ca247,,{}
2026-02-02T20:44:46.073436+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,bc26a6552bcb4719b6a31dca84b6d93f,,{}
2026-02-02T20:44:46.086523+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,f0ab566212414ceb88e797cccb043b52,,{}
2026-02-02T20:44:46.103022+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,9c373ab052ca4782bd2da792d66e02b7,,{}
2026-02-02T20:44:46.121026+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,dbc0e60a8ce0414eae332e5fe86fb6b3,,{}
2026-02-02T20:44:46.138637+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,ad159cc691ba4f029a1e293b28da9877,,{}
2026-02-02T20:44:46.161259+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,ebea90fc42f544b68e830f80db1c10cf,,{}
2026-02-02T20:44:46.180187+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,d7db19092dc4429692f4114b6e067f89,,{}
2026-02-02T20:44:46.197751+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,1f4cdd15dbca405b8fb63296e8ce5ddd,,{}
2026-02-02T20:44:46.218348+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,ce776a2c5bc441de9af51e641249c611,,{}
2026-02-02T20:44:46.249396+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,e1ec9db0b5914d47be2dcf58e9c2bb12,,{}
2026-02-02T20:44:46.275381+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,f28a0377dcc14f17a46f94e769b06b45,,{}
2026-02-02T20:44:46.296237+00:00,auth.failure,HIGH,,,/api/v1/chat,POST,failure,,8b05e610a7a742deb7e028abee989191,,"{'reason': 'missing_api_key', 'key_prefix': None}"
2026-02-02T20:44:46.308849+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,21baddc7f4e143d1a5854a528b8447a2,,{}
2026-02-02T20:44:46.322617+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,77308613d2d14f0c8f4492ffec7a036c,,{}
2026-02-02T20:44:46.336255+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,e080ad8aeab54630be66ba29fcc1b7ac,,{}
2026-02-02T20:44:46.349105+00:00,auth.failure,HIGH,,,/api/v1/tools,GET,failure,,68c1b83ec6694f25ab051f6473cfbc27,,"{'reason': 'missing_api_key', 'key_prefix': None}"
2026-02-02T20:44:46.368776+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,237c5234089942c59111aecbda155ee3,,{}
2026-02-02T20:44:46.383427+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,b858a4001eaa4e64b5f45b9907b4a4ad,,{}
2026-02-02T20:44:46.398118+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,b1cabb14f6884e7c8af1dd969a0deb8d,,{}
2026-02-02T20:44:46.412626+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,c9a8c113dced48cea95c00734225afe0,,{}
2026-02-02T20:44:46.428391+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,361c01dd911f472d81080015b048117d,,{}
2026-02-02T20:44:46.444499+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,dddb519d46134eb6a62e3ffd8db4d888,,{}
2026-02-02T20:44:46.460861+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,b3df13f4e3ca4dcea091b86150c584c8,,{}
2026-02-02T20:44:46.475986+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,e67180df63ff4794bb4db8867c787e9c,,{}
2026-02-02T20:44:46.492494+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,3e03de28a09b460b9a96cf33675cde6b,,{}
2026-02-02T20:44:46.508443+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,a9f7923439384d68ac6240308ed0a5ca,,{}
2026-02-02T20:44:46.524675+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,f886d8b376ee420abbb1d0e65caeca9c,,{}
2026-02-02T20:44:46.540290+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,2cc500a80e444a80b9d13c933741326a,,{}
2026-02-02T20:44:46.554271+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,2658612e9ef24c3f9256c3aa76c8b2d8,,{}
2026-02-02T20:44:46.568332+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,1f5618d4a51e464290cba01e831ab493,,{}
2026-02-02T20:44:46.584154+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,e15e8cf9e7a24b578538dee5e7720481,,{}
2026-02-02T20:44:46.602818+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,c6a9fe70d21d4373aee47b6408c3da53,,{}
2026-02-02T20:44:46.622587+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,e96f1a9f4e99442ca29923e1ccc10468,,{}
2026-02-02T20:44:46.641067+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,64b5f5d4a0b84a8bbda2ee3d76bd101b,,{}
2026-02-02T20:44:46.662275+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,a612854b9c584cfd97c60b44b4f0553a,,{}
2026-02-02T20:44:46.686296+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,f740d4cf72084d6bba854d55567ad13c,,{}
2026-02-02T20:44:46.707614+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,64995573f69c451f8fa25b468cc4c88f,,{}
2026-02-02T20:44:46.726655+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,dc59397041864d30b13c316adfb72190,,{}
2026-02-02T20:44:46.747183+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,d3c9bcac121e4828b70b62fcf586b0ad,,{}
